cohort	analysis	value
AmS_early	perchrom_14	-0.3806088373204242
AmS_early	perchrom_16	-0.4198137671512957
AmS_early	perchrom_18	-0.1985096972187172
AmS_early	perchrom_20	-0.3261822116909009
AmS_early	perchrom_22	-0.28982710511305987
Sib_UP	perchrom_2	-0.03547981096211095
Sib_UP	perchrom_4	-0.09878113779552244
Sib_UP	perchrom_6	-0.15403642182881117
Sib_UP	perchrom_8	-0.031790063194920504
Sib_UP	perchrom_10	-0.06000256578184837
Sib_UP	perchrom_12	-0.08203457693647798
Sib_UP	perchrom_14	-0.25076169547195465
Sib_UP	perchrom_16	-0.3339075341341341
Sib_UP	perchrom_18	-0.07560706477949225
Sib_UP	perchrom_20	-0.08532698080799572
Sib_UP	perchrom_22	-0.27935210129791854
Karitiana	perchrom_2	-0.17179369406237344
Karitiana	perchrom_4	-0.16771945284789525
Karitiana	perchrom_6	-0.35176815284958035
Karitiana	perchrom_8	-0.1445377329878459
Karitiana	perchrom_10	-0.18745903597279834
Karitiana	perchrom_12	-0.23611950040661778
Karitiana	perchrom_14	-0.35983097171339284
Karitiana	perchrom_16	-0.34751285012035343
Karitiana	perchrom_18	-0.15786316669780087
Karitiana	perchrom_20	-0.23020726420866344
Karitiana	perchrom_22	-0.30209793163130116
Papuan	perchrom_2	0.3805830713498658
Papuan	perchrom_4	0.339394001314141
Papuan	perchrom_6	0.48931286911736105
Papuan	perchrom_8	0.3067094575919539
Papuan	perchrom_10	0.3541759528484697
Papuan	perchrom_12	0.4221081886279895
Papuan	perchrom_14	0.39759675629853375
Papuan	perchrom_16	0.5582009068705662
Papuan	perchrom_18	0.44460284082417556
Papuan	perchrom_20	0.4221765799184337
Papuan	perchrom_22	0.35943655214382764
