sample_id	population_label	category	locality	country	lat	lon	date_bp	date_sd	coverage	snps_1240k	mol_sex	assessment	publication	publication_doi	usable_ancient
AV2.AG	Hungary_Avar-5	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1348.0	24.0	2.91781523	793248.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL102.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-1	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	0.51579601	423599.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL110.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-4	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	0.03130869	24319.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	False
CL121.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-3	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	3.17073557	868719.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL145.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-1	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	2.87212757	838147.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL146.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-1	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	3.07700156	849289.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL151.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-1	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	1.79240318	744519.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL23.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-2	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	3.25137858	865420.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL25.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-3	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	1.2925192	707033.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL30.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-3	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	2.75732789	842607.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL31.AG	Italy_Piedmont_North_EarlyMedieval_Lombards	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	2.43138552	816869.0	M	CRITICAL	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL36.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-2	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	1.912672	696293.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL38.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-3	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	2.44581315	770189.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL47.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-2	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	2.28093173	794036.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL49.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-2	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	0.43745953	315573.0	M	Questionable	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL53.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-2	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	0.39163109	336670.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL57.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-2	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	1.71774814	792075.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL63.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-2	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	2.75764162	856827.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL83.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-1	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	1.20034868	716339.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL84.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-1	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	2.52022572	823647.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL87.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-1	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	3.22608568	879568.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL92.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-1	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	1.88537587	763872.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL93.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-1	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	2.32712171	795244.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL94.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-2	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	2.97721614	878236.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
CL97.AG	Italy_Piedmont_North_EarlyMedieval_Lombards-1	West_Eurasian_control	Collegno (Piedmont, Turin)	Italy	45.0792	7.5783	1350.0	29.0	0.1501696	94344.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ12.AG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	1.13324162	535929.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ13.AG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1462.0	37.0	2.92284287	832283.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ14.AG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	0.57710107	371528.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ16.AG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	1.30334623	663351.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ18.AG	Hungary_Lombards-2	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	1.88725308	734160.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ19.AG	Hungary_Lombards-1	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1456.0	39.0	2.64512241	776928.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ20.AG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	0.0105889	11467.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	False
SZ22.AG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	2.04406769	707936.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ23.AG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	2.18604011	729220.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ24.AG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	0.84289078	458529.0	M	Questionable	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ25.AG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	0.46103687	367837.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ27.AG	Hungary_Lombards-2	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1467.0	37.0	3.22477945	890299.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ28.AG	Hungary_Lombards-2	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	2.7374007	780105.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ30.AG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	0.79776455	471468.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ31.AG	Hungary_Lombards-1	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	0.12983134	127162.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ32.AG	Hungary_Lombards-1	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	2.88186738	797618.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ35.AG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	0.00682664	7125.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	False
SZ37.AG	Hungary_Lombards-1	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1430.0	46.0	0.86945341	501182.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ38.AG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	2.41617832	747516.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ40.AG	Hungary_Lombards-1	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	2.2863435	747468.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ41.AG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	0.30160372	215693.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ42.AG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	3.27751363	847341.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ6.AG	Hungary_Lombards-2	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	0.05396132	56632.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ7.AG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	2.17841565	759609.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ8.AG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	0.22160643	210528.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ9.AG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	3.14317349	832068.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ11.SG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	10.9596285	1149833.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ15.SG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	13.049635	1149883.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ1.SG	Hungary_BA	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	3850.0	635.0	12.9467861	1149848.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ2.SG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	7.58433358	1148219.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ36.SG	Hungary_Lombards-1	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	6.88936322	1147176.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ3.SG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	13.0279019	1149980.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ43.SG	Hungary_Lombards-1	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1393.0	35.0	14.2404638	1149969.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ45.SG	Hungary_Lombards-2	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	12.87873	1150009.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
SZ4.SG	Hungary_Lombards	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1425.0	72.0	12.5923952	1149913.0	M	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
JK2134.AG	Egypt_AbusirelMeleq_ThirdIntermediatePeriod	West_Eurasian_control	Abusir-el Meleq (Middle Egypt, Beni Suef Governorate)	Egypt	29.9	31.2	2609.0	72.0	0.13100286	135011.0	M	CRITICAL	SchuenemannKrauseNatComm2017	https://doi.org/10.1038/ncomms15694	True
JK2888.AG	Egypt_AbusirelMeleq_Ptolemaic	West_Eurasian_control	Abusir-el Meleq (Middle Egypt, Beni Suef Governorate)	Egypt	29.9	31.2	1997.0	43.0	0.23093342	207380.0	M	CRITICAL	SchuenemannKrauseNatComm2017	https://doi.org/10.1038/ncomms15694	True
JK2911.AG	Egypt_AbusirelMeleq_ThirdIntermediatePeriod	West_Eurasian_control	Abusir-el Meleq (Middle Egypt, Beni Suef Governorate)	Egypt	29.9	31.2	2602.0	70.0	0.96495686	520709.0	M	Pass	SchuenemannKrauseNatComm2017	https://doi.org/10.1038/ncomms15694	True
I1902.AG	Hungary_LN_Lengyel	West_Eurasian_control	Felsörs-Bárókert (Veszprém County, Balatonalmádi)	Hungary	47.01938	17.96243	6550.0	173.0	0.17387382	173832.0	M	Pass	LipsonReichNature2017	https://doi.org/10.1038/nature24476	True
I0577.AG	Russia_Tuva_IA_AldyBel	West_Eurasian_control	Arzhan (Tuva Republic, Piy-Khemsky District, Arzaan Village)	Russia	52.096067	93.711133	2750.0	58.0	2.75385156	797036.0	M	Pass	UnterländerBurgerNatComm2017	https://doi.org/10.1038/ncomms14615	True
I1454.AG	Ukraine_Cherkasy_Eneolithic_SeredniiStih	West_Eurasian_control	Molyukhіv-Bugor (Cherkasy Oblast, Chygyryn Municipality)	Ukraine	49.144726	32.47167	5650.0	58.0	0.00506675	5488.0	F	Pass	NikitinReichNature2025	https://doi.org/10.1038/s41586-024-08372-2	False
I1594.AG	Germany_BlatterhohleCave_MN	West_Eurasian_control	Blätterhöhle Cave (Nordrhein-Westfalen, Arnsberg, Hagen-Kreisfreie Stadt)	Germany	51.358333	7.551111	5140.0	96.0	0.10838673	110791.0	M	Pass	LipsonReichNature2017	https://doi.org/10.1038/nature24476	True
I1717.AG	Russia_Adygea_EN_ProtoMaikop	West_Eurasian_control	Unakozovskaya (Adygea Republic of, Maykopsky District)	Russia	44.25056667	40.21921667	6450.0	58.0	2.13104458	746167.0	F	Pass	LazaridisReichNature2025	https://doi.org/10.1038/s41586-024-08531-5	True
I1752.AG	Chile_Conchali_700BP	Ancient_South_America	Conchalí (Santiago)	Chile	-33.366667	-70.666667	595.0	32.0	2.49967279	786020.0	M	Pass	PosthReichCell2018	https://doi.org/10.1016/j.cell.2018.10.027	True
I1753.AG	Chile_LosRieles_5100BP	Ancient_South_America	Los Rieles (Coquimbo, Los Vilos)	Chile	-31.92	-71.5	5095.0	124.0	2.49830833	805391.0	M	Pass	PosthReichCell2018	https://doi.org/10.1016/j.cell.2018.10.027	True
I1754.AG	Chile_Conchali_700BP	Ancient_South_America	Conchalí (Santiago)	Chile	-33.366667	-70.666667	825.0	49.0	3.42400266	842552.0	M	Pass	PosthReichCell2018	https://doi.org/10.1016/j.cell.2018.10.027	True
I1763.AG	Ukraine_Zaporizhia_EN	West_Eurasian_control	Vasylivka-Zaporizhia (Zaporizhia Oblast, Vasylivka District, Vasylivska Municipality)	Ukraine	47.434167	35.276389	10081.0	99.0	3.84711017	828040.0	M	Pass	MathiesonReichNature2018	https://doi.org/10.1038/nature25778	True
I1767.AG	England_BellBeaker-ohighEEF	West_Eurasian_control	Windmill Fields (England, Durham County, Stockton-on-Tees, Ingleby Barwick)	United Kingdom	54.522812	-1.308134	4045.0	58.0	1.97632794	728709.0	M	Pass	OlaldeReichNature2018	https://doi.org/10.1038/nature25738	True
I1770.AG	England_BellBeaker	West_Eurasian_control	Staxton Beacon (England, North Yorkshire, Staxton)	United Kingdom	54.201949	-0.434355	3950.0	231.0	0.85762781	495188.0	F	Pass	OlaldeReichNature2018	https://doi.org/10.1038/nature25738	True
I1774.AG	England_EBA_C	West_Eurasian_control	Neat's Court (England, Kent, Isle of Sheppey)	United Kingdom	51.423287	0.738864	3698.0	69.0	0.09840967	100320.0	M	Pass	PattersonReichNature2021	https://doi.org/10.1038/s41586-021-04287-4	True
I1775.AG	Wales_EBA_C	West_Eurasian_control	Great Orme (Wales, North Wales, Llandudno)	United Kingdom	53.33	-3.84	3563.0	50.0	0.54876117	416409.0	M	Pass	OlaldeReichNature2018	https://doi.org/10.1038/nature25738	True
Ukraine_HG1.AG	Ukraine_Mesolithic	West_Eurasian_control	Vasylivka-Zaporizhia-3 (Zaporizhia Oblast, Vasylivka District, Vasylivska Municipality)	Ukraine	47.434168	35.276389	10658.0	94.0	3.8462324	811106.0	M	Pass	JonesBradleyCurrBiol2017	https://doi.org/10.1038/nature25778	True
I1821.AG	Russia_KrasnoyarskKrai_MLBA	West_Eurasian_control	Potroshilovo-2 (Krasnoyarsk Krai, Minusinsky District, Potroshilovo Village)	Russia	53.873133	91.460467	3490.0	33.0	0.53175062	425171.0	M	Pass	NarasimhanReichScience2019	https://doi.org/10.1126/science.aat7487	True
I1828.AG	Russia_KrasnoyarskKrai_MLBA_Andronovo	West_Eurasian_control	Ustye-Biri-4 (Krasnoyarsk Krai, Krasnoturansky District, Lebyazhye Village)	Russia	54.17931667	91.57886667	3484.0	33.0	0.1301642	131460.0	F	Pass	NarasimhanReichScience2019	https://doi.org/10.1126/science.aat7487	True
I1829.AG	Russia_Altai_Afanasievo	Ancient_Siberian	Saldyar-1 (Altai Republic, Ongudaysky District)	Russia	50.5542389	86.5901361	4879.0	35.0	0.33910897	302527.0	F	Pass	NarasimhanReichScience2019	https://doi.org/10.1126/science.aat7487	True
I1836.AG	Spain_MBA	West_Eurasian_control	Cova del Gegant (Catalonia, Barcelona, Sitges)	Spain	41.223	1.77416	3527.0	45.0	0.34877577	294103.0	M	Questionable	OlaldeReichScience2019	https://doi.org/10.1126/science.aav4040	True
I1838.AG	Spain_C	West_Eurasian_control	Las Yurdinas II (Basque Country, Álava, Peñacerrada-Urizaharra)	Spain	42.63	-2.7	5126.0	108.0	4.64306703	839950.0	F	Pass	LipsonReichNature2017	https://doi.org/10.1038/nature24476	True
